year,month,song,artist,count,listen_time_minutes
2024,10,Tears in your eyes,MICO,99,255.79
2024,10,What you're not,MICO,51,119.95
2024,10,Senses,MICO,49,115.02
2024,10,The one to fall,MICO,39,112.33
2024,10,TV,MICO,44,111.55
2024,11,Dystopia - Japanese Version,ONE OK ROCK,42,122.15
2024,11,Tears in your eyes,MICO,39,98.22
2024,11,eyes so red,Jimmy Brown,33,82.47
2024,11,[un]love you,GhostDragon,19,76.75
2024,11,come into you,Jimmy Brown,32,72.37
2024,12,Do Better,sunkis,37,100.44
2024,12,Your Fault,Excision,11,43.1
2024,12,alright,brb.,12,33.9
2024,12,AUTOMATIC REMIX,Chancellor,2,26.78
2024,12,Cry Out,ONE OK ROCK,13,26.470000000000002
2025,1,Let Me Love You,DAY6,1,4.04
2025,1,The Happy Song,Survive Said The Prophet,1,2.73
2025,1,Die With You On My Mind,Story Untold,1,2.72
2025,1,happier than ever,Loveless,1,2.36
